Site,Total_Samples_Tested,ACC_Mean,ACC_Std,AUC_Mean,AUC_Std
CALTECH,37,0.6297619047619047,0.17176512928178464,0.7055555555555555,0.11064136814808019
CMU,27,0.6133333333333334,0.28925190866555517,0.6833333333333333,0.25555555555555554
KKI,48,0.8400000000000001,0.20736441353327723,0.8666666666666668,0.16955824957813168
LEUVEN,63,0.6948717948717948,0.11543802182829188,0.7541269841269841,0.0707381090399421
MAX_MUN,52,0.5157575757575757,0.1348467824203057,0.4993333333333334,0.24730008761287037
NYU,175,0.7714285714285715,0.09035079029052512,0.8399999999999999,0.06576050824350772
OHSU,26,0.6233333333333333,0.23734644158557203,0.7111111111111111,0.20905430802474198
OLIN,34,0.7333333333333333,0.18928197061287422,0.8166666666666667,0.16996731711975946
PITT,56,0.7893939393939394,0.13766216749696797,0.8288888888888888,0.0694244415636147
SBL,30,0.6333333333333333,0.24720661623652207,0.6000000000000001,0.26851213274654606
SDSU,36,0.6904761904761905,0.11580402653776029,0.785,0.15441646429200628
STANFORD,39,0.7928571428571429,0.14649388787138345,0.8458333333333334,0.1130388330520878
TRINITY,47,0.6622222222222222,0.10703639625593153,0.79,0.1685229954635272
UCLA,98,0.7347368421052631,0.124178742588268,0.7981313131313131,0.0909993379211718
UM,140,0.7082466703156358,0.07838169898164991,0.8071794871794872,0.0446595713991328
USM,71,0.7733333333333333,0.08092436489999234,0.8635555555555555,0.06941875080238023
YALE,56,0.7693939393939394,0.1012343470424949,0.8220000000000001,0.1546807145599933
