Site,N_Total,ACC_Avg,ACC_Std
CALTECH,37,0.7011904761904761,0.05461937974740221
CMU,27,0.5866666666666667,0.18648800974265822
KKI,48,0.6088888888888888,0.13752665286014046
LEUVEN,63,0.6820512820512821,0.09525218267182932
MAX_MUN,52,0.5103030303030304,0.1655000492427637
NYU,175,0.6857142857142857,0.07284313590846837
OHSU,26,0.6466666666666667,0.25991451586157244
OLIN,34,0.6333333333333333,0.2865068372665014
PITT,56,0.7136363636363636,0.04430361065822255
SBL,30,0.6,0.09128709291752768
SDSU,36,0.6404761904761905,0.1524901952165719
STANFORD,39,0.6928571428571428,0.18788226339375197
TRINITY,47,0.5933333333333334,0.14177011473543627
UCLA,98,0.7142105263157894,0.16439050528283808
UM,140,0.6730249954387886,0.10306999515927409
USM,71,0.6761904761904762,0.06208764195431092
YALE,56,0.7012121212121212,0.12927004216620688
