Model,P_Value_Perm,AUC_Mean,AUC_STD,ACC_Mean,ACC_STD,F1_Mean,F1_STD,Sens_Mean,Sens_STD,Spec_Mean,Spec_STD,TN,FP,FN,TP
Thr0.1_Pos_LogReg,0.0196,0.583,0.036,0.555,0.038,0.541,0.037,0.539,0.04,0.57,0.055,302,228,233,272
Thr0.1_Pos_LinSVM,0.0196,0.566,0.031,0.546,0.031,0.553,0.036,0.581,0.077,0.514,0.09,272,258,212,293
Thr0.1_Pos_RBFSVM,0.098,0.545,0.022,0.529,0.032,0.52,0.028,0.523,0.034,0.534,0.055,283,247,241,264
Thr0.1_Neg_LogReg,0.0196,0.647,0.013,0.594,0.011,0.594,0.008,0.61,0.026,0.579,0.04,307,223,197,308
Thr0.1_Neg_LinSVM,0.0196,0.638,0.014,0.592,0.015,0.615,0.023,0.672,0.059,0.517,0.057,274,256,166,339
Thr0.1_Neg_RBFSVM,0.0196,0.658,0.034,0.623,0.038,0.63,0.034,0.655,0.026,0.593,0.051,314,216,174,331
Thr0.1_Comb_LogReg,0.0196,0.637,0.032,0.604,0.029,0.598,0.032,0.604,0.042,0.604,0.037,320,210,200,305
Thr0.1_Comb_LinSVM,0.0196,0.626,0.029,0.594,0.037,0.608,0.046,0.65,0.081,0.542,0.055,287,243,177,328
Thr0.1_Comb_RBFSVM,0.0196,0.633,0.034,0.594,0.034,0.591,0.043,0.604,0.055,0.585,0.03,310,220,200,305
Thr0.2_Pos_LogReg,0.0196,0.618,0.037,0.596,0.037,0.595,0.04,0.608,0.045,0.585,0.047,310,220,198,307
Thr0.2_Pos_LinSVM,0.0196,0.607,0.016,0.574,0.025,0.602,0.027,0.663,0.061,0.489,0.075,259,271,170,335
Thr0.2_Pos_RBFSVM,0.0196,0.609,0.042,0.571,0.04,0.58,0.038,0.608,0.042,0.536,0.05,284,246,198,307
Thr0.2_Neg_LogReg,0.0196,0.62,0.017,0.59,0.026,0.601,0.035,0.634,0.057,0.549,0.018,291,239,185,320
Thr0.2_Neg_LinSVM,0.0196,0.618,0.02,0.56,0.02,0.615,0.038,0.729,0.095,0.401,0.089,212,318,137,368
Thr0.2_Neg_RBFSVM,0.0196,0.636,0.033,0.591,0.037,0.605,0.037,0.642,0.048,0.544,0.039,288,242,181,324
Thr0.2_Comb_LogReg,0.0196,0.637,0.025,0.616,0.017,0.624,0.031,0.656,0.06,0.579,0.027,307,223,174,331
Thr0.2_Comb_LinSVM,0.0196,0.646,0.018,0.583,0.026,0.635,0.028,0.744,0.04,0.428,0.02,227,303,129,376
Thr0.2_Comb_RBFSVM,0.0196,0.615,0.037,0.58,0.026,0.587,0.028,0.614,0.037,0.547,0.033,290,240,195,310
Thr0.3_Pos_LogReg,0.0196,0.637,0.035,0.611,0.03,0.62,0.044,0.657,0.074,0.566,0.052,300,230,173,332
Thr0.3_Pos_LinSVM,0.0196,0.628,0.02,0.575,0.02,0.631,0.024,0.747,0.067,0.412,0.076,218,312,128,377
Thr0.3_Pos_RBFSVM,0.0196,0.636,0.041,0.599,0.04,0.611,0.042,0.647,0.049,0.553,0.036,293,237,178,327
Thr0.3_Neg_LogReg,0.0196,0.603,0.024,0.572,0.015,0.602,0.026,0.668,0.056,0.481,0.036,255,275,168,337
Thr0.3_Neg_LinSVM,0.0196,0.6,0.034,0.545,0.04,0.614,0.035,0.749,0.101,0.352,0.138,186,344,127,378
Thr0.3_Neg_RBFSVM,0.0196,0.619,0.029,0.581,0.027,0.615,0.023,0.687,0.048,0.48,0.066,254,276,158,347
Thr0.3_Comb_LogReg,0.0196,0.644,0.036,0.615,0.025,0.627,0.041,0.669,0.077,0.564,0.042,299,231,167,338
Thr0.3_Comb_LinSVM,0.0196,0.635,0.028,0.582,0.026,0.639,0.028,0.762,0.064,0.41,0.068,217,313,120,385
Thr0.3_Comb_RBFSVM,0.0196,0.64,0.038,0.595,0.035,0.612,0.028,0.653,0.018,0.54,0.052,286,244,175,330
