Fold,Site,N_Samples,ACC,AUC,F1,Sens,Spec,TN,FP,FN,TP
1,CALTECH,8,0.75,0.6875,0.75,0.75,0.75,3,1,1,3
1,CMU,4,0.5,0.75,0.0,0.0,1.0,2,0,2,0
1,KKI,9,0.6666666666666666,0.9500000000000001,0.7272727272727273,1.0,0.4,2,3,0,4
1,LEUVEN,13,0.5384615384615384,0.6190476190476191,0.4,0.3333333333333333,0.7142857142857143,5,2,4,2
1,MAX_MUN,11,0.45454545454545453,0.33333333333333337,0.25,0.2,0.6666666666666666,4,2,4,1
1,NYU,35,0.5714285714285714,0.68,0.4,0.3333333333333333,0.75,15,5,10,5
1,OHSU,4,0.5,0.5,0.5,0.5,0.5,1,1,1,1
1,OLIN,7,0.5714285714285714,0.5833333333333334,0.5714285714285714,0.5,0.6666666666666666,2,1,2,2
1,PITT,11,0.5454545454545454,0.6,0.5454545454545454,0.5,0.6,3,2,3,3
1,SBL,6,1.0,1.0,1.0,1.0,1.0,3,0,0,3
1,SDSU,7,0.42857142857142855,0.5,0.0,0.0,0.75,3,1,3,0
1,STANFORD,8,0.625,0.875,0.5714285714285714,0.5,0.75,3,1,2,2
1,TRINITY,10,0.4,0.48000000000000004,0.4,0.4,0.4,2,3,3,2
1,UCLA,20,0.65,0.6565656565656566,0.6956521739130435,0.7272727272727273,0.5555555555555556,5,4,3,8
1,UM,28,0.5,0.5384615384615385,0.5333333333333333,0.6153846153846154,0.4,6,9,5,8
1,USM,15,0.7333333333333333,0.66,0.8181818181818182,0.9,0.4,2,3,1,9
1,YALE,11,0.8181818181818182,1.0,0.75,0.6,1.0,6,0,2,3
2,CALTECH,7,0.42857142857142855,0.5,0.5,0.5,0.3333333333333333,1,2,2,2
2,CMU,6,0.6666666666666666,0.888888888888889,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,2
2,KKI,9,0.4444444444444444,0.35,0.5454545454545454,0.75,0.2,1,4,1,3
2,LEUVEN,12,0.6666666666666666,0.7777777777777778,0.6,0.5,0.8333333333333334,5,1,3,3
2,MAX_MUN,11,0.45454545454545453,0.5333333333333333,0.4,0.4,0.5,3,3,3,2
2,NYU,35,0.6571428571428571,0.6466666666666667,0.6666666666666666,0.8,0.55,11,9,3,12
2,OHSU,5,0.6,0.5,0.5,0.5,0.6666666666666666,2,1,1,1
2,OLIN,7,0.7142857142857143,0.8333333333333334,0.75,0.75,0.6666666666666666,2,1,1,3
2,PITT,11,0.6363636363636364,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6,3,2,2,4
2,SBL,6,0.5,0.6666666666666667,0.4,0.3333333333333333,0.6666666666666666,2,1,2,1
2,SDSU,7,0.7142857142857143,0.9166666666666666,0.6666666666666666,0.6666666666666666,0.75,3,1,1,2
2,STANFORD,8,0.5,0.75,0.6666666666666666,1.0,0.0,0,4,0,4
2,TRINITY,10,0.9,0.92,0.9090909090909091,1.0,0.8,4,1,0,5
2,UCLA,19,0.5789473684210527,0.5888888888888888,0.6363636363636364,0.7,0.4444444444444444,4,5,3,7
2,UM,28,0.6428571428571429,0.7487179487179487,0.6875,0.8461538461538461,0.4666666666666667,7,8,2,11
2,USM,14,0.7857142857142857,0.8666666666666666,0.8421052631578947,0.8888888888888888,0.6,3,2,1,8
2,YALE,12,0.5833333333333334,0.5555555555555556,0.6153846153846154,0.6666666666666666,0.5,3,3,2,4
3,CALTECH,6,0.5,0.22222222222222224,0.4,0.3333333333333333,0.6666666666666666,2,1,2,1
3,CMU,6,0.6666666666666666,0.6666666666666667,0.75,1.0,0.3333333333333333,1,2,0,3
3,KKI,10,0.6,0.7083333333333333,0.6,0.75,0.5,3,3,1,3
3,LEUVEN,13,0.6923076923076923,0.7380952380952381,0.6666666666666666,0.6666666666666666,0.7142857142857143,5,2,2,4
3,MAX_MUN,10,0.8,0.8400000000000001,0.8,0.8,0.8,4,1,1,4
3,NYU,35,0.6285714285714286,0.67,0.6060606060606061,0.6666666666666666,0.6,12,8,5,10
3,OHSU,6,0.6666666666666666,0.6666666666666667,0.5,0.3333333333333333,1.0,3,0,2,1
3,OLIN,7,0.7142857142857143,0.9166666666666667,0.8,1.0,0.3333333333333333,1,2,0,4
3,PITT,12,0.75,0.7777777777777779,0.7272727272727273,0.6666666666666666,0.8333333333333334,5,1,2,4
3,SBL,6,0.8333333333333334,1.0,0.8571428571428571,1.0,0.6666666666666666,2,1,0,3
3,SDSU,6,0.5,0.625,0.4,0.5,0.5,2,2,1,1
3,STANFORD,8,0.5,0.625,0.6666666666666666,1.0,0.0,0,4,0,4
3,TRINITY,9,0.7777777777777778,0.8,0.75,0.75,0.8,4,1,1,3
3,UCLA,20,0.75,0.8080808080808081,0.8,0.9090909090909091,0.5555555555555556,5,4,1,10
3,UM,27,0.6296296296296297,0.7307692307692308,0.7058823529411765,0.9230769230769231,0.35714285714285715,5,9,1,12
3,USM,14,0.6428571428571429,0.5333333333333332,0.7058823529411765,0.6666666666666666,0.6,3,2,3,6
3,YALE,12,0.5,0.4722222222222222,0.5,0.5,0.5,3,3,3,3
4,CALTECH,8,0.5,0.4375,0.3333333333333333,0.25,0.75,3,1,3,1
4,CMU,6,1.0,1.0,1.0,1.0,1.0,3,0,0,3
4,KKI,10,0.5,0.5416666666666667,0.5454545454545454,0.75,0.3333333333333333,2,4,1,3
4,LEUVEN,13,0.46153846153846156,0.40476190476190477,0.2222222222222222,0.16666666666666666,0.7142857142857143,5,2,5,1
4,MAX_MUN,9,0.4444444444444444,0.2,0.4444444444444444,0.5,0.4,2,3,2,2
4,NYU,35,0.6857142857142857,0.73,0.6666666666666666,0.7333333333333333,0.65,13,7,4,11
4,OHSU,6,0.3333333333333333,0.11111111111111112,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,2,2,1
4,OLIN,6,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,1,2,3,0
4,PITT,11,0.45454545454545453,0.6333333333333333,0.25,0.2,0.6666666666666666,4,2,4,1
4,SBL,6,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,2
4,SDSU,8,0.625,0.7333333333333333,0.5714285714285714,0.6666666666666666,0.6,3,2,1,2
4,STANFORD,8,0.5,0.5,0.6666666666666666,1.0,0.0,0,4,0,4
4,TRINITY,9,0.5555555555555556,0.55,0.6,0.75,0.4,2,3,1,3
4,UCLA,19,0.7894736842105263,0.7840909090909091,0.8461538461538461,1.0,0.5,4,4,0,11
4,UM,28,0.5714285714285714,0.7230769230769231,0.6842105263157895,1.0,0.2,3,12,0,13
4,USM,14,0.8571428571428571,0.8,0.9,1.0,0.6,3,2,0,9
4,YALE,11,0.7272727272727273,0.7666666666666666,0.7272727272727273,0.6666666666666666,0.8,4,1,2,4
5,CALTECH,8,0.625,0.4375,0.5714285714285714,0.5,0.75,3,1,2,2
5,CMU,5,0.4,0.5,0.5714285714285714,0.6666666666666666,0.0,0,2,1,2
5,KKI,10,0.3,0.41666666666666663,0.46153846153846156,0.75,0.0,0,6,1,3
5,LEUVEN,12,0.5,0.48571428571428577,0.0,0.0,0.8571428571428571,6,1,5,0
5,MAX_MUN,11,0.5454545454545454,0.5,0.5454545454545454,0.6,0.5,3,3,2,3
5,NYU,35,0.6285714285714286,0.6933333333333334,0.5806451612903226,0.6,0.65,13,7,6,9
5,OHSU,5,0.8,0.8333333333333334,0.6666666666666666,0.5,1.0,3,0,1,1
5,OLIN,7,0.7142857142857143,0.6666666666666667,0.75,0.75,0.6666666666666666,2,1,1,3
5,PITT,11,0.6363636363636364,0.7666666666666666,0.5,0.3333333333333333,1.0,5,0,4,2
5,SBL,6,0.5,0.7777777777777778,0.0,0.0,1.0,3,0,3,0
5,SDSU,8,0.5,0.4666666666666666,0.3333333333333333,0.3333333333333333,0.6,3,2,2,1
5,STANFORD,7,0.7142857142857143,0.6666666666666666,0.75,1.0,0.5,2,2,0,3
5,TRINITY,9,0.4444444444444444,0.6,0.2857142857142857,0.25,0.6,3,2,3,1
5,UCLA,20,0.7,0.7070707070707071,0.75,0.8181818181818182,0.5555555555555556,5,4,2,9
5,UM,29,0.5172413793103449,0.6000000000000001,0.6111111111111112,0.7857142857142857,0.26666666666666666,4,11,3,11
5,USM,14,0.7142857142857143,0.5333333333333333,0.8,0.8888888888888888,0.4,2,3,1,8
5,YALE,10,0.7,0.6800000000000002,0.6666666666666666,0.6,0.8,4,1,2,3
